y,x,labels,tissue
43.103448275862064,65.51724137931033,4,DEB
43.103448275862064,67.24137931034483,4,DEB
44.82758620689655,37.93103448275862,4,DEB
44.82758620689655,43.103448275862064,4,DEB
44.82758620689655,44.82758620689655,4,DEB
44.82758620689655,46.55172413793103,4,DEB
44.82758620689655,48.275862068965516,4,DEB
44.82758620689655,50.0,4,DEB
44.82758620689655,51.72413793103448,4,DEB
44.82758620689655,53.44827586206896,4,DEB
44.82758620689655,55.172413793103445,4,DEB
44.82758620689655,56.89655172413793,4,DEB
44.82758620689655,58.62068965517241,4,DEB
44.82758620689655,60.34482758620689,4,DEB
44.82758620689655,62.068965517241374,4,DEB
44.82758620689655,63.79310344827586,4,DEB
44.82758620689655,65.51724137931033,4,DEB
44.82758620689655,67.24137931034483,4,DEB
44.82758620689655,68.9655172413793,4,DEB
44.82758620689655,70.6896551724138,4,DEB
46.55172413793103,18.96551724137931,-1,DEB
46.55172413793103,36.206896551724135,4,DEB
46.55172413793103,37.93103448275862,4,DEB
46.55172413793103,39.6551724137931,4,DEB
46.55172413793103,46.55172413793103,4,DEB
46.55172413793103,48.275862068965516,4,DEB
46.55172413793103,50.0,4,DEB
46.55172413793103,51.72413793103448,4,DEB
46.55172413793103,53.44827586206896,4,DEB
46.55172413793103,55.172413793103445,4,DEB
46.55172413793103,56.89655172413793,4,DEB
46.55172413793103,58.62068965517241,4,DEB
46.55172413793103,60.34482758620689,4,DEB
46.55172413793103,62.068965517241374,4,DEB
46.55172413793103,63.79310344827586,4,DEB
46.55172413793103,65.51724137931033,4,DEB
46.55172413793103,67.24137931034483,4,DEB
46.55172413793103,68.9655172413793,4,DEB
46.55172413793103,70.6896551724138,4,DEB
48.275862068965516,29.310344827586206,5,DEB
48.275862068965516,36.206896551724135,4,DEB
48.275862068965516,37.93103448275862,4,DEB
48.275862068965516,39.6551724137931,4,DEB
48.275862068965516,46.55172413793103,4,DEB
48.275862068965516,48.275862068965516,4,DEB
48.275862068965516,50.0,4,DEB
48.275862068965516,51.72413793103448,4,DEB
48.275862068965516,53.44827586206896,4,DEB
48.275862068965516,55.172413793103445,4,DEB
48.275862068965516,56.89655172413793,4,DEB
48.275862068965516,58.62068965517241,4,DEB
48.275862068965516,60.34482758620689,4,DEB
48.275862068965516,62.068965517241374,4,DEB
48.275862068965516,63.79310344827586,4,DEB
48.275862068965516,65.51724137931033,4,DEB
48.275862068965516,67.24137931034483,4,DEB
48.275862068965516,68.9655172413793,4,DEB
48.275862068965516,70.6896551724138,4,DEB
50.0,1.7241379310344827,-1,DEB
50.0,29.310344827586206,5,DEB
50.0,36.206896551724135,4,DEB
50.0,37.93103448275862,4,DEB
50.0,41.37931034482759,4,DEB
50.0,43.103448275862064,4,DEB
50.0,44.82758620689655,4,DEB
50.0,46.55172413793103,4,DEB
50.0,48.275862068965516,4,DEB
50.0,50.0,4,DEB
50.0,51.72413793103448,4,DEB
50.0,53.44827586206896,4,DEB
50.0,55.172413793103445,4,DEB
50.0,56.89655172413793,4,DEB
50.0,58.62068965517241,4,DEB
50.0,60.34482758620689,4,DEB
50.0,62.068965517241374,4,DEB
50.0,63.79310344827586,4,DEB
50.0,65.51724137931033,4,DEB
50.0,67.24137931034483,4,DEB
50.0,68.9655172413793,4,DEB
50.0,70.6896551724138,4,DEB
50.0,127.58620689655172,-1,DEB
51.72413793103448,43.103448275862064,4,DEB
51.72413793103448,44.82758620689655,4,DEB
51.72413793103448,46.55172413793103,4,DEB
51.72413793103448,48.275862068965516,4,DEB
51.72413793103448,50.0,4,DEB
51.72413793103448,51.72413793103448,4,DEB
51.72413793103448,53.44827586206896,4,DEB
51.72413793103448,55.172413793103445,4,DEB
51.72413793103448,56.89655172413793,4,DEB
51.72413793103448,58.62068965517241,4,DEB
51.72413793103448,60.34482758620689,4,DEB
51.72413793103448,62.068965517241374,4,DEB
51.72413793103448,63.79310344827586,4,DEB
51.72413793103448,65.51724137931033,4,DEB
51.72413793103448,67.24137931034483,4,DEB
51.72413793103448,68.9655172413793,4,DEB
51.72413793103448,70.6896551724138,4,DEB
51.72413793103448,75.86206896551724,4,DEB
51.72413793103448,77.58620689655172,4,DEB
53.44827586206896,43.103448275862064,4,DEB
53.44827586206896,44.82758620689655,4,DEB
53.44827586206896,46.55172413793103,4,DEB
53.44827586206896,48.275862068965516,4,DEB
53.44827586206896,50.0,4,DEB
53.44827586206896,51.72413793103448,4,DEB
53.44827586206896,53.44827586206896,4,DEB
53.44827586206896,55.172413793103445,4,DEB
53.44827586206896,56.89655172413793,4,DEB
53.44827586206896,58.62068965517241,4,DEB
53.44827586206896,60.34482758620689,4,DEB
53.44827586206896,62.068965517241374,4,DEB
53.44827586206896,63.79310344827586,4,DEB
53.44827586206896,65.51724137931033,4,DEB
53.44827586206896,67.24137931034483,4,DEB
53.44827586206896,68.9655172413793,4,DEB
53.44827586206896,70.6896551724138,4,DEB
53.44827586206896,72.41379310344827,4,DEB
53.44827586206896,74.13793103448275,4,DEB
53.44827586206896,75.86206896551724,4,DEB
53.44827586206896,77.58620689655172,4,DEB
55.172413793103445,43.103448275862064,4,DEB
55.172413793103445,44.82758620689655,4,DEB
55.172413793103445,46.55172413793103,4,DEB
55.172413793103445,48.275862068965516,4,DEB
55.172413793103445,50.0,4,DEB
55.172413793103445,51.72413793103448,4,DEB
55.172413793103445,53.44827586206896,4,DEB
